,Año,Cve..Municipio,Municipio,Bien.jurídico.afectado,Tipo.de.delito,Subtipo.de.delito,Modalidad,Mes,Carpetas
44,2015,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
238,2015,14003,Ahualulco de Mercado,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
239,2015,14003,Ahualulco de Mercado,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
531,2015,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
532,2015,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,5.0
534,2015,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
630,2015,14007,San Juanito de Escobedo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
728,2015,14008,Arandas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,7.0
730,2015,14008,Arandas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
825,2015,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
826,2015,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
1217,2015,14013,Atotonilco el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
1218,2015,14013,Atotonilco el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
1220,2015,14013,Atotonilco el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
1416,2015,14015,Autlán de Navarro,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
1610,2015,14017,Ayutla,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
1707,2015,14018,La Barca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
1708,2015,14018,La Barca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2100,2015,14022,Cihuatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2102,2015,14022,Cihuatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
2198,2015,14023,Zapotlán el Grande,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,15.0
2200,2015,14023,Zapotlán el Grande,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,9.0
2296,2015,14024,Cocula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2492,2015,14026,Concepción de Buenos Aires,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2884,2015,14030,Chapala,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,6.0
2886,2015,14030,Chapala,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
3178,2015,14033,Degollado,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
3180,2015,14033,Degollado,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
3374,2015,14035,Encarnación de Díaz,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
3376,2015,14035,Encarnación de Díaz,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
3570,2015,14037,El Grullo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
3765,2015,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,60.0
